"","","Channel","Watch time (mins)","Stream time (mins)","Peak viewers","Average viewers","Followers","Followers gained","Status","Mature","Language","URL"
"45","https://static-cdn.jtvnw.net/jtv_user_pictures/edc81242-45ce-40f3-8ab6-a09edaca2b2d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","plaqueboymax","1363985985","55425","196138","24609","2391268","542628","Partner","false","English","https://www.twitch.tv/plaqueboymax"
"46","https://static-cdn.jtvnw.net/jtv_user_pictures/8e9ae092-d343-4f47-a65a-26ce3d2da6ab-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Recrent","1351089765","172035","49343","7853","1931915","272765","Partner","false","Russian","https://www.twitch.tv/recrent"
"47","https://static-cdn.jtvnw.net/jtv_user_pictures/ea4b608a-2f21-432a-afca-03da7920a8a6-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","byilhann","1337446230","62625","218410","21356","1580296","610413","Partner","false","French","https://www.twitch.tv/byilhann"
"48","https://static-cdn.jtvnw.net/jtv_user_pictures/3973e918fe7cc8c8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","MOONMOON","1316706810","119310","22260","11036","1183133","1235","Partner","true","English","https://www.twitch.tv/moonmoon"
"49","https://static-cdn.jtvnw.net/jtv_user_pictures/2f5addde-fd0d-4a10-82a9-ea91ebb17f8d-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Quin69","1313308170","165405","36442","7939","948666","26065","Partner","false","English","https://www.twitch.tv/quin69"
"50","https://static-cdn.jtvnw.net/jtv_user_pictures/5b73f4b998324548-profile_image-150x150.jpeg?imenable=1&impolicy=user-profile-picture&imwidth=100","knekro","1308574935","143670","145054","9108","1285313","59789","Partner","false","Spanish","https://www.twitch.tv/knekro"
"51","https://static-cdn.jtvnw.net/jtv_user_pictures/593b5641-c626-4ba4-ba49-11cb33f6c3e8-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","IlloJuan","1277277690","45345","84789","28167","4564095","245936","Partner","false","Spanish","https://www.twitch.tv/illojuan"
"52","https://static-cdn.jtvnw.net/jtv_user_pictures/3f038015-59f4-44f3-8a82-7437d3afd068-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","loud_coringa","1274759985","73470","139906","17350","7092154","602369","Partner","false","Portuguese","https://www.twitch.tv/loud_coringa"
"53","https://static-cdn.jtvnw.net/jtv_user_pictures/f04d2a14-8d63-4cd5-a469-7ec2cd6e5ce3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","tarik","1260357645","97950","95278","12867","3312732","51887","Partner","false","English","https://www.twitch.tv/tarik"
"54","https://static-cdn.jtvnw.net/jtv_user_pictures/64d44235-1dee-4bca-95da-bee1ee96eea3-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","alanzoka","1241099490","101865","69851","12183","7995384","369174","Partner","false","Portuguese","https://www.twitch.tv/alanzoka"
"55","https://static-cdn.jtvnw.net/jtv_user_pictures/a83b628d80bcbe4f-profile_image-150x150.png?imenable=1&impolicy=user-profile-picture&imwidth=100","Agent00","1229109705","92775","99323","13248","3271199","847800","Partner","false","English","https://www.twitch.tv/agent00"
